"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 29-Jan-2021","30 D % CHNG 
 31-Dec-2021"
"NIFTY500 MULTICAP 50:25:25","10,017.70","10,083.25","10,012.65","9,950.20","10,076.25","126.05","1.27",1979267946,"521,083,028,634.29","10,475.45","5,531.55","-","0.60"
"SPANDANA","340.00","404.50","339.00","337.10","404.50","67.40","19.99",3038465,"1,180,869,037.60","820.00","331.55","-54.43","-26.83"
"ELGIEQUIP","342.00","388.70","341.90","340.95","387.30","46.35","13.59",3125738,"1,169,026,012.00","388.70","155.45","111.57","13.99"
"VIPIND","624.00","688.10","618.25","602.30","668.00","65.70","10.91",4763042,"3,101,978,732.92","688.10","304.60","72.90","11.81"
"INDIANB","154.75","172.30","154.75","153.05","168.00","14.95","9.77",13483739,"2,206,209,375.18","194.95","87.50","61.62","9.63"
"KARURVYSYA","51.50","56.60","51.40","51.35","55.80","4.45","8.67",22852341,"1,257,564,325.23","64.55","38.40","15.65","12.73"
"VARROC","397.20","429.00","397.20","395.30","429.00","33.70","8.53",470391,"195,391,013.58","477.65","260.00","-7.55","18.94"
"LALPATHLAB","2,999.65","3,275.00","2,970.00","2,981.10","3,214.00","232.90","7.81",476250,"1,498,130,100.00","4,245.50","2,198.15","29.82","-22.01"
"CCL","473.80","514.95","471.70","471.25","508.00","36.75","7.80",3574286,"1,791,539,371.78","514.95","226.35","95.95","9.78"
"TV18BRDCST","57.15","63.40","56.90","56.75","61.00","4.25","7.49",32743884,"1,999,014,118.20","64.95","26.25","102.68","26.53"
"UNIONBANK","46.90","50.15","46.85","46.55","49.90","3.35","7.20",33140602,"1,619,912,625.76","54.80","31.10","44.12","7.26"
"LUXIND","2,740.00","2,890.00","2,706.75","2,691.10","2,868.00","176.90","6.57",150387,"426,753,189.90","4,644.00","1,610.00","63.77","-27.05"
"IDEA","11.00","11.95","10.90","10.70","11.40","0.70","6.54",441251145,"5,074,388,167.50","16.80","4.55","-8.55","-30.29"
"CANFINHOME","631.05","669.95","628.75","624.20","665.00","40.80","6.54",3287808,"2,166,566,837.76","722.00","467.95","28.97","12.89"
"PRINCEPIPE","679.00","719.80","679.00","676.00","718.05","42.05","6.22",360035,"253,803,072.90","897.00","293.85","121.42","-3.44"
"BHARATRAS","12,454.50","13,200.00","12,314.80","12,335.70","13,102.00","766.30","6.21",16189,"209,348,377.28","15,131.70","9,255.00","23.74","6.00"
"GSPL","300.05","318.65","300.05","298.70","317.00","18.30","6.13",695368,"214,993,878.24","379.20","196.50","47.58","1.20"
"BLUESTARCO","873.00","924.50","855.60","870.30","923.00","52.70","6.06",172367,"154,406,358.60","1,091.50","728.65","11.76","-13.99"
"CAMS","2,780.00","2,948.00","2,770.00","2,765.20","2,923.15","157.95","5.71",349531,"1,014,552,175.91","4,067.40","1,701.00","53.87","3.72"
"CREDITACC","622.00","658.90","617.00","621.05","656.50","35.45","5.71",207680,"133,058,499.20","808.40","494.70","-16.49","3.88"
"FLUOROCHEM","2,996.95","3,147.00","2,927.50","2,966.15","3,130.00","163.85","5.52",245613,"749,959,646.46","3,147.00","525.10","411.85","22.83"
"ADVENZYMES","322.40","345.00","321.80","317.85","335.20","17.35","5.46",710027,"239,797,418.71","503.70","297.30","0.71","-2.53"
"APLAPOLLO","890.00","929.00","875.80","872.10","919.70","47.60","5.46",601769,"546,123,420.57","1,114.55","445.05","-6.42","-12.77"
"IDBI","48.55","50.65","47.95","47.95","50.55","2.60","5.42",11379249,"555,307,351.20","65.25","28.60","54.93","3.34"
"AEGISCHEM","206.40","217.30","206.40","205.35","216.20","10.85","5.28",782961,"167,350,084.14","387.90","191.75","-27.69","-7.19"
"MOTILALOFS","875.00","930.95","875.00","872.60","917.95","45.35","5.20",236066,"214,142,550.58","1,188.00","580.00","41.58","-4.70"
