"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 01-Feb-2021","30 D % CHNG 
 31-Dec-2021"
"NIFTY500 MULTICAP 50:25:25","10,083.50","10,086.70","9,975.20","10,076.25","9,994.40","-81.85","-0.81",1718538295,"496,521,420,201.98","10,475.45","5,531.55","-","0.54"
"DHANI","135.30","156.70","132.00","134.40","152.45","18.05","13.43",105933075,"15,263,896,776.75","378.90","122.60","-62.56","-16.55"
"BLUESTARCO","936.00","1,024.15","923.75","911.95","999.40","87.45","9.59",1835722,"1,825,680,600.66","1,091.50","758.00","13.67","-10.18"
"AMBER","3,550.00","3,924.75","3,541.85","3,568.85","3,856.20","287.35","8.05",613246,"2,343,672,900.50","3,924.75","2,665.00","31.57","7.93"
"BALAMINES","3,636.00","3,714.75","3,552.00","3,374.05","3,620.00","245.95","7.29",270536,"978,079,622.24","5,223.55","1,143.15","193.41","-9.31"
"BALRAMCHIN","415.80","448.90","415.15","415.30","444.25","28.95","6.97",7856569,"3,420,435,879.84","459.85","157.00","152.23","10.95"
"TV18BRDCST","61.10","67.45","60.30","60.95","65.00","4.05","6.64",48124717,"3,143,506,514.44","67.45","26.25","114.61","31.78"
"ASAHIINDIA","563.65","612.90","559.90","563.65","597.95","34.30","6.09",1440314,"861,048,515.48","612.90","275.00","95.27","14.57"
"BSE","2,080.00","2,219.00","2,078.05","2,078.05","2,198.00","119.95","5.77",2550689,"5,534,000,361.29","2,373.70","535.50","241.64","9.03"
"ELGIEQUIP","390.00","419.60","389.20","381.90","401.50","19.60","5.13",4682681,"1,910,908,462.48","419.60","159.65","134.08","25.27"
"CENTURYPLY","613.65","645.00","607.25","607.20","638.00","30.80","5.07",257029,"160,753,647.47","712.90","262.30","126.99","0.23"
"TTML","156.20","156.20","156.20","148.80","156.20","7.40","4.97",312915,"48,877,323.00","290.15","10.45","687.30","-31.32"
