"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 02-Feb-2021","30 D % CHNG 
 03-Jan-2022"
"NIFTY500 MULTICAP 50:25:25","10,009.45","10,029.40","9,933.65","9,994.40","9,949.45","-44.95","-0.45",1700283517,"486,640,040,095.59","10,475.45","5,531.55","-","-0.90"
"SPANDANA","376.00","433.90","371.30","377.30","410.00","32.70","8.67",4921473,"2,041,968,362.43","820.00","331.55","-49.33","-13.56"
"DCMSHRIRAM","1,115.00","1,200.00","1,111.10","1,114.20","1,200.00","85.80","7.70",663189,"781,727,401.86","1,250.00","435.30","147.41","5.23"
"TORNTPOWER","543.50","589.90","543.10","539.85","579.85","40.00","7.41",7770569,"4,475,614,626.93","606.55","313.95","67.32","-5.39"
"SHARDACROP","631.00","671.00","629.90","618.90","659.60","40.70","6.58",2244098,"1,480,117,276.88","671.00","274.15","117.50","73.09"
"SUMICHEM","412.90","420.00","402.45","394.55","418.00","23.45","5.94",3015972,"1,245,234,519.36","459.90","268.20","24.76","2.56"
"HINDCOPPER","130.00","138.50","129.50","129.35","136.90","7.55","5.84",17477979,"2,362,323,641.64","196.75","62.70","105.32","-3.07"
"VTL","2,428.60","2,577.00","2,424.90","2,422.05","2,555.00","132.95","5.49",344370,"874,131,589.50","2,880.00","1,012.50","125.14","-5.49"
"FINEORG","3,918.90","4,178.25","3,918.90","3,900.05","4,107.00","206.95","5.31",115967,"474,736,427.24","4,178.25","2,127.15","61.51","1.81"
"TTML","164.00","164.00","164.00","156.20","164.00","7.80","4.99",299211,"49,070,604.00","290.15","10.45","688.89","-31.33"
"LUXIND","2,940.00","3,172.40","2,939.95","2,905.05","3,049.00","143.95","4.96",330401,"1,015,903,778.76","4,644.00","1,631.30","75.98","-20.47"
"JAMNAAUTO","104.45","109.35","103.70","103.65","108.70","5.05","4.87",3486025,"371,714,845.75","125.00","60.85","52.31","1.62"
"CHOLAFIN","645.25","680.00","643.55","642.75","672.00","29.25","4.55",4779062,"3,174,348,561.64","680.00","438.05","39.77","17.71"
"CARBORUNIV","878.05","912.00","870.90","870.90","909.40","38.50","4.42",235183,"211,020,298.58","1,035.00","412.05","103.27","-11.62"
"JSLHISAR","410.05","431.00","410.05","411.00","428.65","17.65","4.29",551525,"234,618,735.00","431.00","109.05","225.16","12.60"
"CHALET","250.75","262.50","247.30","251.05","261.00","9.95","3.96",764905,"198,125,693.10","292.80","122.65","45.41","14.04"
"HIKAL","418.00","434.75","412.75","415.25","431.00","15.75","3.79",392600,"167,169,080.00","742.00","143.00","132.37","-24.19"
"VEDL","345.00","362.75","343.60","345.30","356.35","11.05","3.20",20184671,"7,212,992,181.85","385.90","172.55","98.56","3.00"
"MARICO","496.80","511.65","492.70","501.30","510.40","15.35","3.10",1758002,"885,646,247.56","607.70","379.10","20.59","-0.15"
"ELGIEQUIP","397.50","419.00","393.85","404.20","415.90","11.70","2.89",1137373,"460,260,731.91","419.60","159.65","145.86","30.60"
"RATNAMANI","2,000.00","2,050.00","2,000.00","1,991.05","2,047.95","56.90","2.86",27516,"56,052,843.60","2,305.30","1,545.00","25.43","2.11"
"VAIBHAVGBL","451.00","468.00","448.25","449.20","461.50","12.30","2.74",236658,"109,063,839.30","1,050.00","437.55","-83.88","-21.20"
"TATAELXSI","7,300.00","7,493.00","7,205.30","7,293.85","7,492.00","198.15","2.72",327785,"2,418,404,285.70","7,964.40","2,541.10","153.58","22.02"
"DHANUKA","794.30","815.95","788.00","780.00","801.15","21.15","2.71",200194,"160,533,566.66","1,053.90","658.00","5.52","2.46"
"AEGISCHEM","221.35","230.50","217.95","221.10","227.00","5.90","2.67",1225148,"277,287,746.84","387.90","191.75","-24.33","1.61"
"JSL","212.00","219.70","210.90","211.60","217.20","5.60","2.65",1503570,"326,154,404.40","219.80","60.45","173.74","6.44"
"PIIND","2,485.00","2,591.95","2,443.35","2,490.20","2,553.00","62.80","2.52",1024598,"2,588,083,318.10","3,534.90","2,123.00","10.67","-17.38"
"BHARATRAS","12,975.00","13,499.00","12,900.00","12,976.50","13,300.00","323.50","2.49",3018,"39,727,744.80","15,131.70","9,255.00","30.01","10.03"
"HINDALCO","513.00","528.50","512.05","512.65","525.20","12.55","2.45",12631663,"6,619,244,045.26","551.85","252.55","99.28","7.68"
"PGHH","14,950.70","15,260.00","14,771.15","14,842.35","15,200.00","357.65","2.41",38682,"580,226,518.62","16,448.70","11,100.00","30.66","-4.15"
"TRIDENT","61.10","63.85","60.50","61.05","62.50","1.45","2.38",5620962,"349,174,159.44","70.35","13.10","-","-"
"AARTIDRUGS","513.70","528.30","513.70","513.70","525.90","12.20","2.37",301978,"158,145,878.60","841.80","484.00","-25.20","-4.52"
"ORIENTELEC","337.35","343.95","330.00","335.20","343.00","7.80","2.33",334595,"113,327,326.50","408.00","263.50","21.76","-9.70"
"UJJIVANSFB","19.50","19.85","19.40","19.35","19.80","0.45","2.33",2117403,"41,437,576.71","39.00","16.75","-47.63","2.11"
"MOIL","175.00","183.45","174.15","174.65","178.65","4.00","2.29",1386791,"249,386,625.53","207.95","135.10","24.31","3.31"
"SFL","3,250.90","3,328.80","3,210.25","3,250.80","3,325.00","74.20","2.28",10250,"33,731,212.50","3,959.50","1,930.00","57.18","-1.49"
