"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 22-Jan-2021","30 D % CHNG 
 24-Dec-2021"
"NIFTY500 MULTICAP 50:25:25","9,659.25","9,697.45","9,547.10","9,753.80","9,663.50","-90.30","-0.93",2247371180,"721,666,242,815.45","10,475.45","5,531.55","-","0.87"
"TV18BRDCST","52.10","58.50","52.10","48.75","58.50","9.75","20.00",36203891,"2,044,071,685.86","58.50","26.25","67.53","9.80"
"THYROCARE","915.60","1,087.00","908.90","907.15","1,049.00","141.85","15.64",1375294,"1,418,313,196.32","1,465.00","831.00","-0.28","-10.51"
"GAEL","189.80","220.80","187.10","189.30","216.35","27.05","14.29",5580208,"1,157,558,347.52","220.80","115.00","36.73","14.73"
"LAOPALA","374.90","426.00","372.00","376.35","416.50","40.15","10.67",1051635,"424,103,362.80","456.50","200.25","68.88","-12.50"
"SHARDACROP","516.60","577.85","505.00","525.35","577.85","52.50","9.99",3739767,"2,115,249,612.87","577.85","261.05","83.66","53.03"
"UNIONBANK","42.25","47.10","42.10","42.65","46.60","3.95","9.26",28253174,"1,277,608,528.28","54.80","29.20","40.30","-0.70"
"CANBK","218.00","242.25","216.00","221.40","240.55","19.15","8.65",46941087,"10,902,067,455.75","247.60","123.70","65.66","13.19"
"RHIM","417.00","452.90","407.05","415.80","451.05","35.25","8.48",422833,"182,431,297.85","452.90","212.60","-","13.11"
"TEAMLEASE","3,875.00","4,247.35","3,874.95","3,800.85","4,100.00","299.15","7.87",331869,"1,358,957,093.34","5,550.00","2,675.05","36.73","0.87"
"INDIANB","134.00","146.90","133.20","135.35","145.75","10.40","7.68",6993098,"992,460,468.16","194.95","86.60","50.72","-0.55"
"MMTC","49.40","53.45","48.55","49.55","53.25","3.70","7.47",20279632,"1,049,673,752.32","63.95","26.65","84.20","7.48"
"SHRIRAMCIT","1,692.15","1,799.00","1,506.80","1,683.70","1,799.00","115.30","6.85",94789,"166,054,213.87","2,602.00","975.00","64.36","-3.90"
"RBLBANK","142.90","154.50","141.20","144.00","153.40","9.40","6.53",28611456,"4,255,954,080.00","268.80","123.80","-35.35","2.16"
"BHARATRAS","12,000.00","12,906.25","11,855.00","11,867.70","12,625.05","757.35","6.38",7980,"99,059,331.00","15,131.70","9,255.00","19.81","13.60"
"BANKINDIA","51.75","56.00","51.50","52.35","55.50","3.15","6.02",12318436,"667,166,493.76","101.40","47.90","3.87","2.45"
"BDL","458.80","499.00","455.15","465.35","493.00","27.65","5.94",1741926,"840,531,552.78","499.00","321.10","39.68","21.68"
"SRTRANSFIN","1,179.95","1,247.65","1,170.10","1,166.70","1,234.30","67.60","5.79",2948439,"3,567,198,408.54","1,696.40","1,097.45","-2.86","-4.27"
"MRPL","41.00","43.80","41.00","41.30","43.65","2.35","5.69",3098354,"133,105,287.84","57.80","33.80","11.32","-0.84"
"REDINGTON","154.95","164.90","153.65","154.95","163.75","8.80","5.68",7588027,"1,200,501,751.67","179.20","66.25","16.24","8.32"
"BANKBARODA","97.00","104.00","96.10","98.50","103.55","5.05","5.13",94518500,"9,548,258,870.00","108.00","61.75","33.38","23.36"
"NETWORK18","78.25","81.90","78.20","78.00","81.90","3.90","5.00",1603814,"130,678,764.72","114.80","34.50","110.81","-12.16"
"SUZLON","10.85","11.55","10.70","11.00","11.55","0.55","5.00",91947918,"1,051,884,181.92","13.10","4.40","-","29.41"
"INFIBEAM","43.50","46.80","42.55","43.50","45.65","2.15","4.94",10870803,"494,295,412.41","113.70","36.70","-44.41","10.83"
"DCMSHRIRAM","1,097.00","1,139.80","1,061.30","1,037.10","1,088.00","50.90","4.91",623163,"691,760,783.04","1,250.00","420.45","119.07","8.38"
"IRB","231.00","243.25","227.10","231.75","243.00","11.25","4.85",1762166,"416,223,609.20","345.85","100.60","105.63","14.59"
"FEDERALBNK","95.40","100.50","94.00","95.85","100.25","4.40","4.59",31055664,"3,039,728,392.32","107.65","69.05","34.53","17.97"
"JBCHEPHARM","1,725.00","1,828.00","1,710.00","1,730.95","1,809.00","78.05","4.51",176015,"314,866,192.90","1,985.00","956.05","64.79","4.07"
"PNB","39.00","41.45","38.80","39.40","41.15","1.75","4.44",120678533,"4,871,792,377.21","48.20","31.90","15.37","5.77"
"MAHABANK","19.80","21.30","19.65","20.20","21.05","0.85","4.21",8412940,"174,568,505.00","32.00","13.50","48.53","3.59"
"SUPPETRO","695.00","726.50","689.70","697.55","726.50","28.95","4.15",103053,"74,036,366.79","818.75","348.40","87.34","1.30"
"CENTRALBK","20.55","21.90","20.50","20.85","21.70","0.85","4.08",8181526,"175,411,917.44","29.65","12.50","56.18","-3.02"
"HOMEFIRST","741.55","810.00","741.00","758.00","788.00","30.00","3.96",50543,"39,500,365.36","921.30","440.00","-","-6.59"
"HATHWAY","21.30","23.70","21.00","21.25","22.05","0.80","3.76",18106723,"408,487,670.88","34.80","19.60","-29.98","-"
"VEDL","315.00","332.00","312.05","318.05","329.85","11.80","3.71",13373574,"4,318,861,987.56","385.90","160.30","92.52","-6.57"
"POONAWALLA","263.65","279.85","260.00","266.55","275.50","8.95","3.36",6086800,"1,658,957,340.00","302.90","42.60","-","34.38"
"AXISBANK","744.00","777.00","738.10","752.20","776.90","24.70","3.28",34927774,"26,611,121,732.86","866.90","616.00","14.25","11.91"
"IOB","20.00","21.10","19.95","20.25","20.90","0.65","3.21",7150235,"147,938,362.15","29.00","10.20","91.94","-1.22"
"GESHIP","306.90","322.90","305.45","308.95","318.85","9.90","3.20",233565,"73,890,623.40","445.00","249.35","19.79","5.37"
"GARFIBRES","3,040.00","3,100.00","2,909.65","3,002.95","3,099.00","96.05","3.20",16939,"50,557,155.74","4,030.00","2,182.00","30.65","-6.13"
"LAXMIMACH","10,651.00","11,250.00","10,569.30","10,904.30","11,249.85","345.55","3.17",16088,"177,797,979.92","11,250.00","4,910.30","118.74","27.51"
"BHEL","57.45","60.35","57.00","57.60","59.40","1.80","3.12",51899167,"3,062,569,844.67","80.35","35.10","58.90","-"
"TATAMTRDVR","236.50","255.50","232.40","242.10","249.60","7.50","3.10",3036663,"744,498,667.71","298.65","101.35","119.69","6.42"
"WELSPUNIND","136.95","142.70","135.50","137.35","141.60","4.25","3.09",2006966,"282,901,927.36","170.70","65.40","106.23","-3.38"
"UCOBANK","12.90","13.40","12.85","12.95","13.35","0.40","3.09",6813083,"90,000,826.43","16.35","10.75","-0.77","0.78"
"GUJALKALI","670.00","713.85","666.50","683.35","704.20","20.85","3.05",358341,"250,595,028.12","846.00","304.65","109.14","11.26"
"BASF","3,048.95","3,200.00","3,010.00","3,033.10","3,124.00","90.90","3.00",47541,"148,368,329.85","3,930.00","1,550.00","87.92","8.73"
"SCI","119.95","125.15","118.80","120.90","124.50","3.60","2.98",1960174,"239,611,669.76","160.20","82.30","44.10","-9.81"
"NCC","68.90","72.50","68.55","69.35","71.40","2.05","2.96",4598449,"324,374,592.46","99.85","57.55","15.58","1.09"
"IDBI","47.65","50.95","47.30","48.60","50.00","1.40","2.88",13306931,"653,769,520.03","65.25","26.35","81.01","1.78"
"SUNDRMFAST","831.15","858.00","825.00","831.15","855.00","23.85","2.87",47100,"39,691,641.00","993.70","535.00","48.22","-2.86"
"AUBANK","1,235.00","1,284.40","1,227.20","1,246.45","1,282.00","35.55","2.85",1811988,"2,278,303,111.80","1,389.85","842.50","40.90","24.00"
"KARURVYSYA","45.00","47.25","45.00","45.75","47.05","1.30","2.84",2841510,"131,505,082.80","64.55","38.40","6.89","2.92"
"SBIN","503.55","530.85","503.20","514.65","529.00","14.35","2.79",35409230,"18,429,441,938.10","542.30","269.50","83.18","12.36"
"IDFC","61.50","63.15","60.75","61.45","63.00","1.55","2.52",15244926,"946,709,904.60","66.00","40.60","45.62","19.67"
"CERA","4,500.00","4,720.00","4,463.05","4,493.55","4,606.65","113.10","2.52",51885,"240,572,066.40","6,450.00","3,315.15","29.02","-7.87"
"DHANUKA","716.20","745.45","716.20","716.20","734.00","17.80","2.49",69820,"51,114,523.80","1,053.90","658.00","-2.06","-1.38"
"GNFC","454.00","471.80","451.10","458.95","470.35","11.40","2.48",1131050,"520,803,283.00","518.20","202.30","119.80","13.32"
"RECLTD","131.50","134.80","130.60","131.55","134.80","3.25","2.47",4532825,"599,964,717.00","168.85","122.15","-4.54","-0.04"
"INDHOTEL","195.00","203.00","194.15","197.85","202.45","4.60","2.32",3737985,"742,214,301.60","230.49","91.02","59.30","11.03"
"IDFCFIRSTB","45.10","46.40","44.40","45.20","46.25","1.05","2.32",36296339,"1,643,135,266.53","69.30","40.75","-5.93","-2.59"
"SWSOLAR","380.00","399.90","377.95","383.25","392.10","8.85","2.31",682100,"264,654,800.00","509.10","183.50","61.88","0.96"
"CIPLA","901.00","931.50","887.00","905.65","926.55","20.90","2.31",7859401,"7,211,393,387.55","1,005.00","738.10","8.23","-2.64"
"MARUTI","8,656.00","8,971.65","8,400.05","8,602.60","8,801.00","198.40","2.31",2899559,"25,137,871,728.45","8,971.65","6,400.00","7.78","18.01"
"CCL","444.80","458.65","438.30","446.10","455.90","9.80","2.20",476694,"214,784,015.58","494.80","226.35","82.23","3.56"
"KOTAKBANK","1,840.00","1,898.55","1,821.15","1,854.65","1,895.00","40.35","2.18",3718619,"6,917,970,042.84","2,253.00","1,626.00","3.36","4.58"
"IIFL","305.10","317.90","298.35","307.40","314.00","6.60","2.15",608375,"189,095,117.50","374.90","116.00","159.41","12.54"
"KAJARIACER","1,260.00","1,282.00","1,239.95","1,255.85","1,282.00","26.15","2.08",192042,"242,727,645.06","1,374.90","805.55","48.40","4.65"
"DCBBANK","81.00","84.75","81.00","82.65","84.30","1.65","2.00",875319,"72,686,489.76","122.35","78.35","-27.72","4.89"
"TVSMOTOR","609.00","636.00","600.00","620.70","633.00","12.30","1.98",2490371,"1,545,499,338.89","813.95","495.00","14.36","2.48"
"POLYMED","865.00","921.00","865.00","896.55","914.00","17.45","1.95",102037,"91,796,566.68","1,165.00","487.80","71.47","-0.26"
"EQUITAS","103.00","109.90","102.90","105.90","107.95","2.05","1.94",1023079,"109,970,761.71","145.00","68.55","47.19","-4.03"
"CGPOWER","180.00","190.55","177.70","181.50","185.00","3.50","1.93",3017836,"556,428,601.68","208.90","37.75","356.60","-"
"OIL","225.50","235.90","223.50","224.80","229.00","4.20","1.87",4040568,"930,179,159.28","267.80","108.55","103.44","28.27"
"GREAVESCOT","197.00","214.00","195.10","201.85","205.60","3.75","1.86",5176776,"1,072,213,845.12","258.90","84.45","123.29","45.16"
"EIDPARRY","457.00","473.45","456.25","461.20","469.55","8.35","1.81",180835,"84,464,411.80","532.90","302.50","31.96","5.86"
"AJANTPHARM","2,180.00","2,222.00","2,120.05","2,181.30","2,220.00","38.70","1.77",39201,"84,992,864.13","2,435.00","1,660.00","24.01","0.13"
"CHALET","234.95","245.70","230.75","234.95","239.10","4.15","1.77",168137,"40,016,606.00","292.80","122.65","44.01","10.36"
"VENKEYS","2,520.00","2,619.00","2,485.00","2,532.20","2,576.10","43.90","1.73",54555,"140,210,168.85","3,955.00","1,505.00","64.30","1.06"
"TCNSBRANDS","712.00","740.35","712.00","722.30","734.75","12.45","1.72",15779,"11,503,837.74","932.00","392.00","77.14","-9.30"
"INTELLECT","721.00","752.00","711.25","721.25","733.60","12.35","1.71",749403,"550,046,813.94","892.00","311.75","121.48","5.82"
"MFSL","885.00","903.80","862.70","884.85","900.00","15.15","1.71",865685,"764,105,522.10","1,148.05","659.10","26.76","-7.37"
"IIFLWAM","1,521.80","1,539.80","1,487.25","1,514.20","1,539.80","25.60","1.69",81763,"124,164,474.17","1,785.40","989.85","46.97","7.18"
"FINCABLES","473.10","492.40","465.00","479.90","488.00","8.10","1.69",168700,"81,677,792.00","608.60","350.00","29.04","-8.82"
"ALOKINDS","29.15","30.65","28.70","29.70","30.20","0.50","1.68",32934936,"989,694,826.80","35.80","18.70","42.11","17.16"
"SUPREMEIND","2,050.00","2,098.00","1,963.15","2,047.85","2,081.00","33.15","1.62",152471,"310,150,409.36","2,693.90","1,720.00","18.21","-7.37"
"LICHSGFIN","339.90","347.90","329.65","341.25","346.70","5.45","1.60",5402870,"1,818,389,927.20","542.45","329.65","-17.92","-6.49"
"ICICIGI","1,333.90","1,389.95","1,318.05","1,346.15","1,367.30","21.15","1.57",809958,"1,101,113,602.26","1,675.00","1,295.00","-6.40","-0.04"
"CEATLTD","1,060.00","1,091.95","1,059.50","1,069.10","1,085.75","16.65","1.56",90469,"97,716,471.59","1,763.00","1,048.95","-28.57","-1.68"
"CHOLAFIN","634.00","659.00","630.70","643.60","653.55","9.95","1.55",3916323,"2,524,383,479.34","674.90","390.65","53.02","22.18"
"PNCINFRA","276.90","291.25","276.00","278.20","282.50","4.30","1.55",485733,"137,302,147.11","395.90","180.05","48.45","5.22"
"COROMANDEL","744.95","764.90","735.15","748.45","760.00","11.55","1.54",411586,"310,393,466.04","956.00","709.35","-10.90","-0.12"
"MCX","1,520.00","1,561.00","1,515.00","1,533.85","1,557.05","23.20","1.51",715431,"1,100,168,328.87","2,135.00","1,432.30","-7.90","-3.60"
"APOLLOTYRE","210.00","218.25","205.50","212.40","215.60","3.20","1.51",3866620,"809,051,568.80","261.25","192.40","0.52","1.68"
"SUNDARMFIN","2,185.20","2,280.25","2,185.20","2,226.90","2,260.00","33.10","1.49",8774,"19,731,760.86","2,868.00","1,651.50","26.44","1.21"
"FACT","140.50","148.80","138.25","142.20","144.30","2.10","1.48",885875,"128,008,937.50","159.90","73.10","81.49","23.49"
"KSCL","545.70","555.20","540.00","545.95","554.00","8.05","1.47",74673,"40,954,406.85","816.65","472.10","0.20","0.83"
"IOC","120.90","123.75","119.80","121.45","123.10","1.65","1.36",8593559,"1,047,812,648.87","141.50","86.75","29.96","9.66"
"PNBHOUSING","400.10","432.00","400.10","418.35","424.00","5.65","1.35",394862,"163,307,025.96","925.00","325.05","15.76","-14.92"
"EIHOTEL","132.45","136.00","130.65","133.70","135.50","1.80","1.35",187367,"25,067,830.93","155.00","82.00","44.62","11.00"
"NFL","55.35","57.00","54.85","55.85","56.60","0.75","1.34",1083651,"60,738,638.55","73.70","37.40","38.76","11.37"
"ASTERDM","182.45","187.30","181.45","182.45","184.90","2.45","1.34",279642,"51,792,494.82","237.00","132.55","17.98","3.43"
"WELCORP","175.90","181.30","173.00","177.15","179.50","2.35","1.33",1193558,"212,787,520.24","197.30","105.85","42.81","1.32"
"TATAPOWER","235.50","242.35","232.50","238.80","241.95","3.15","1.32",35920383,"8,508,461,121.21","267.85","74.45","201.32","9.87"
"CHAMBLFERT","449.00","459.50","442.00","452.05","458.00","5.95","1.32",1642996,"740,646,166.84","484.95","200.35","94.14","16.90"
"GICRE","132.80","138.15","132.45","133.75","135.50","1.75","1.31",1334786,"182,438,550.48","244.20","116.60","-","-1.11"
